"","start_date","state","retail_rec_p1","grocery_rx_p1","parks_p1","transit_p1","workplaces_p1","residential_p1","end_date","retail_rec_p2","grocery_rx_p2","parks_p2","transit_p2","workplaces_p2","residential_p2","retail_rec_change","grocery_rx_change","parks_change","transit_change","workplace_change","residential_change"
"37",2020-06-22,"Colorado",-10,0,109,-29,-37,9,2020-06-29,-7,2,110,-26,-34,8,3,2,1,3,3,-1
"38",2020-06-23,"Colorado",-9,1,92,-29,-40,10,2020-06-30,-4,6,94,-26,-38,10,5,5,2,3,2,0
"39",2020-06-24,"Colorado",-9,1,96,-29,-39,10,2020-07-01,-3,8,112,-24,-39,9,6,7,16,5,0,-1
"40",2020-06-25,"Colorado",-10,3,107,-28,-39,10,2020-07-02,0,15,132,-22,-42,9,10,12,25,6,-3,-1
"41",2020-06-26,"Colorado",-17,-1,76,-27,-38,10,2020-07-03,-8,16,137,-27,-58,12,9,17,61,0,-20,2
"42",2020-06-27,"Colorado",-18,2,85,-18,-14,3,2020-07-04,-36,-1,85,-30,-29,5,-18,-3,0,-12,-15,2
"43",2020-06-21,"Connecticut",-10,-1,134,-18,-7,1,2020-06-28,-13,-9,104,-20,-7,4,-3,-8,-30,-2,0,3
"44",2020-06-22,"Connecticut",-7,-4,100,-25,-40,11,2020-06-29,-9,-6,68,-25,-37,12,-2,-2,-32,0,3,1
"45",2020-06-23,"Connecticut",-7,-1,97,-24,-39,11,2020-06-30,-8,-3,50,-25,-38,12,-1,-2,-47,-1,1,1
"46",2020-06-24,"Connecticut",-8,-2,90,-25,-38,12,2020-07-01,-6,1,67,-20,-38,12,2,3,-23,5,0,0
"47",2020-06-25,"Connecticut",-8,0,109,-22,-37,11,2020-07-02,3,10,138,-13,-39,9,11,10,29,9,-2,-2
"48",2020-06-26,"Connecticut",-13,-4,109,-23,-37,11,2020-07-03,-8,12,62,-26,-59,18,5,16,-47,-3,-22,7
"49",2020-06-27,"Connecticut",-18,-8,119,-18,-13,5,2020-07-04,-31,-8,247,-24,-29,3,-13,0,128,-6,-16,-2
"50",2020-06-21,"Delaware",-4,8,147,-13,-10,2,2020-06-28,-4,4,151,-13,-9,3,0,-4,4,0,1,1
"51",2020-06-22,"Delaware",-2,0,105,-21,-37,10,2020-06-29,2,4,118,-20,-34,9,4,4,13,1,3,-1
"52",2020-06-23,"Delaware",0,4,128,-22,-37,10,2020-06-30,4,8,138,-19,-35,10,4,4,10,3,2,0
"53",2020-06-24,"Delaware",0,4,133,-16,-35,10,2020-07-01,4,8,93,-16,-36,10,4,4,-40,0,-1,0
"54",2020-06-25,"Delaware",0,5,109,-12,-36,10,2020-07-02,11,19,156,-8,-37,9,11,14,47,4,-1,-1
"55",2020-06-26,"Delaware",-5,4,NA,-19,-34,10,2020-07-03,3,17,NA,-27,-54,15,8,13,NA,-8,-20,5
"56",2020-06-27,"Delaware",-7,6,NA,-1,-8,3,2020-07-04,-23,1,NA,-22,-23,4,-16,-5,NA,-21,-15,1
"57",2020-06-21,"District of Columbia",-52,-18,-14,-57,-21,6,2020-06-28,-52,-21,-18,-58,-19,7,0,-3,-4,-1,2,1
"58",2020-06-22,"District of Columbia",-53,-27,-44,-67,-61,22,2020-06-29,-48,-23,-34,-65,-58,20,5,4,10,2,3,-2
"59",2020-06-23,"District of Columbia",-48,-19,-33,-68,-61,20,2020-06-30,-46,-18,-33,-67,-58,19,2,1,0,1,3,-1
"60",2020-06-24,"District of Columbia",-47,-18,-29,-67,-59,20,2020-07-01,-43,-14,-39,-66,-59,18,4,4,-10,1,0,-2
"61",2020-06-25,"District of Columbia",-50,-22,-34,-67,-60,21,2020-07-02,-42,-12,-32,-66,-59,17,8,10,2,1,1,-4
"62",2020-06-26,"District of Columbia",-49,-17,-27,-64,-56,19,2020-07-03,-49,-15,-31,-71,-68,19,0,2,-4,-7,-12,0
"63",2020-06-27,"District of Columbia",-54,-17,-29,-55,-22,7,2020-07-04,-57,-17,15,-54,-28,6,-3,0,44,1,-6,-1
"64",2020-06-21,"Florida",-21,-7,-8,-41,-17,4,2020-06-28,-26,-12,-15,-42,-17,6,-5,-5,-7,-1,0,2
"65",2020-06-22,"Florida",-21,-12,-13,-38,-35,10,2020-06-29,-21,-11,-17,-39,-35,11,0,1,-4,-1,0,1
"66",2020-06-23,"Florida",-20,-9,-11,-38,-35,11,2020-06-30,-20,-9,-16,-39,-35,11,0,0,-5,-1,0,0
"67",2020-06-24,"Florida",-20,-10,-8,-38,-34,11,2020-07-01,-19,-9,-16,-37,-35,11,1,1,-8,1,-1,0
"68",2020-06-25,"Florida",-21,-9,-10,-37,-34,11,2020-07-02,-16,-4,-10,-34,-37,11,5,5,0,3,-3,0
"69",2020-06-26,"Florida",-24,-9,-10,-39,-34,12,2020-07-03,-19,0,-6,-42,-53,16,5,9,4,-3,-19,4
"70",2020-06-27,"Florida",-26,-10,-13,-40,-17,6,2020-07-04,-38,-15,-25,-52,-30,8,-12,-5,-12,-12,-13,2
"71",2020-06-21,"Georgia",-14,0,50,-35,-18,2,2020-06-28,-14,-4,55,-31,-15,4,0,-4,5,4,3,2
"72",2020-06-22,"Georgia",-13,-5,27,-34,-37,10,2020-06-29,-10,-2,46,-34,-36,10,3,3,19,0,1,0
"73",2020-06-23,"Georgia",-10,1,28,-34,-37,12,2020-06-30,-8,0,23,-32,-37,11,2,-1,-5,2,0,-1
"74",2020-06-24,"Georgia",-10,-3,25,-33,-36,11,2020-07-01,-3,3,41,-28,-38,10,7,6,16,5,-2,-1
"75",2020-06-25,"Georgia",-10,0,27,-32,-36,11,2020-07-02,-1,9,37,-25,-39,10,9,9,10,7,-3,-1
"76",2020-06-26,"Georgia",-13,-3,75,-31,-35,10,2020-07-03,-6,12,106,-32,-57,13,7,15,31,-1,-22,3
"77",2020-06-27,"Georgia",-15,-3,55,-24,-12,4,2020-07-04,-32,-5,64,-41,-31,6,-17,-2,9,-17,-19,2
"78",2020-06-21,"Hawaii",-34,-17,-24,-64,-25,6,2020-06-28,-36,-23,-23,-63,-24,7,-2,-6,1,1,1,1
"79",2020-06-22,"Hawaii",-36,-25,-40,-56,-35,13,2020-06-29,-33,-21,-39,-56,-32,12,3,4,1,0,3,-1
"80",2020-06-23,"Hawaii",-34,-21,-38,-56,-35,14,2020-06-30,-31,-16,-37,-56,-33,13,3,5,1,0,2,-1
"81",2020-06-24,"Hawaii",-34,-22,-35,-58,-34,14,2020-07-01,-30,-16,-32,-55,-33,12,4,6,3,3,1,-2
"82",2020-06-25,"Hawaii",-34,-20,-37,-59,-34,14,2020-07-02,-27,-11,-33,-54,-36,12,7,9,4,5,-2,-2
"83",2020-06-26,"Hawaii",-34,-19,-32,-56,-32,13,2020-07-03,-30,-10,-24,-61,-60,19,4,9,8,-5,-28,6
"84",2020-06-27,"Hawaii",-35,-21,-22,-61,-26,8,2020-07-04,-47,-20,-31,-67,-37,10,-12,1,-9,-6,-11,2
"85",2020-06-21,"Idaho",14,27,304,27,-10,-4,2020-06-28,8,13,175,29,-12,0,-6,-14,-129,2,-2,4
"86",2020-06-22,"Idaho",8,14,267,14,-26,2,2020-06-29,7,12,124,10,-27,5,-1,-2,-143,-4,-1,3
"87",2020-06-23,"Idaho",7,17,277,15,-31,5,2020-06-30,10,19,181,16,-30,7,3,2,-96,1,1,2
"88",2020-06-24,"Idaho",8,16,225,12,-29,5,2020-07-01,15,25,203,20,-30,5,7,9,-22,8,-1,0
"89",2020-06-25,"Idaho",8,18,253,16,-30,5,2020-07-02,17,34,283,28,-34,4,9,16,30,12,-4,-1
"90",2020-06-26,"Idaho",0,15,253,15,-30,4,2020-07-03,5,36,325,16,-53,7,5,21,72,1,-23,3
"91",2020-06-27,"Idaho",-5,14,NA,29,-10,-1,2020-07-04,-29,21,NA,11,-26,-1,-24,7,NA,-18,-16,0
"92",2020-06-21,"Illinois",-20,3,130,-21,-11,1,2020-06-28,-15,-4,145,-20,-10,2,5,-7,15,1,1,1
"93",2020-06-22,"Illinois",-21,-10,25,-39,-41,13,2020-06-29,-14,-6,43,-35,-38,11,7,4,18,4,3,-2
"94",2020-06-23,"Illinois",-13,-1,96,-32,-39,11,2020-06-30,-8,0,73,-33,-38,11,5,1,-23,-1,1,0
"95",2020-06-24,"Illinois",-12,0,88,-32,-38,11,2020-07-01,-4,7,87,-28,-38,10,8,7,-1,4,0,-1
"96",2020-06-25,"Illinois",-13,2,101,-30,-37,11,2020-07-02,0,14,100,-25,-40,9,13,12,-1,5,-3,-2
"97",2020-06-26,"Illinois",-20,-8,27,-32,-38,12,2020-07-03,-7,18,120,-27,-59,13,13,26,93,5,-21,1
"98",2020-06-27,"Illinois",-16,2,116,-13,-9,2,2020-07-04,-37,-1,135,-26,-31,3,-21,-3,19,-13,-22,1
"99",2020-06-21,"Indiana",-3,9,167,8,-10,0,2020-06-28,-3,4,193,15,-8,1,0,-5,26,7,2,1
"100",2020-06-22,"Indiana",0,1,113,1,-30,8,2020-06-29,2,3,112,3,-30,8,2,2,-1,2,0,0
"101",2020-06-23,"Indiana",2,7,159,3,-30,7,2020-06-30,4,8,143,6,-30,8,2,1,-16,3,0,1
"102",2020-06-24,"Indiana",4,6,178,3,-29,7,2020-07-01,10,12,171,10,-32,7,6,6,-7,7,-3,0
"103",2020-06-25,"Indiana",3,9,187,6,-29,7,2020-07-02,14,22,206,16,-35,6,11,13,19,10,-6,-1
"104",2020-06-26,"Indiana",-4,1,173,7,-30,7,2020-07-03,5,19,273,6,-58,11,9,18,100,-1,-28,4
"105",2020-06-27,"Indiana",-7,4,180,16,-9,2,2020-07-04,-25,5,336,1,-30,0,-18,1,156,-15,-21,-2
"106",2020-06-21,"Iowa",0,29,262,6,-5,-2,2020-06-28,-1,23,230,9,-5,0,-1,-6,-32,3,0,2
"107",2020-06-22,"Iowa",-8,11,109,-4,-31,10,2020-06-29,-2,18,187,2,-29,8,6,7,78,6,2,-2
"108",2020-06-23,"Iowa",-5,16,214,2,-31,8,2020-06-30,-4,18,188,2,-31,8,1,2,-26,0,0,0
"109",2020-06-24,"Iowa",-2,19,221,6,-28,7,2020-07-01,2,27,194,11,-30,7,4,8,-27,5,-2,0
"110",2020-06-25,"Iowa",-3,13,239,6,-30,8,2020-07-02,7,30,265,12,-34,6,10,17,26,6,-4,-2
"111",2020-06-26,"Iowa",-3,18,195,8,-29,6,2020-07-03,4,38,339,8,-56,9,7,20,144,0,-27,3
"112",2020-06-27,"Iowa",-10,21,262,16,-3,0,2020-07-04,-33,17,322,-5,-27,0,-23,-4,60,-21,-24,0
"113",2020-06-21,"Kansas",-1,6,120,13,-8,0,2020-06-28,-2,2,108,22,-7,1,-1,-4,-12,9,1,1
"114",2020-06-22,"Kansas",-6,-1,129,3,-31,7,2020-06-29,-4,1,121,5,-30,7,2,2,-8,2,1,0
"115",2020-06-23,"Kansas",-1,3,182,6,-32,8,2020-06-30,0,5,135,7,-32,8,1,2,-47,1,0,0
"116",2020-06-24,"Kansas",0,8,162,11,-30,6,2020-07-01,4,13,142,16,-32,6,4,5,-20,5,-2,0
"117",2020-06-25,"Kansas",-5,2,153,8,-32,8,2020-07-02,4,14,154,18,-37,7,9,12,1,10,-5,-1
"118",2020-06-26,"Kansas",-3,-1,187,17,-29,4,2020-07-03,2,17,206,10,-55,9,5,18,19,-7,-26,5
"119",2020-06-27,"Kansas",-15,2,185,16,-6,2,2020-07-04,-37,1,203,-7,-26,1,-22,-1,18,-23,-20,-1
"120",2020-06-21,"Kentucky",-11,7,89,-4,-13,1,2020-06-28,-13,1,64,0,-13,3,-2,-6,-25,4,0,2
"121",2020-06-22,"Kentucky",-6,5,73,-10,-33,9,2020-06-29,-5,3,66,-8,-32,9,1,-2,-7,2,1,0
"122",2020-06-23,"Kentucky",-3,9,102,-7,-33,8,2020-06-30,-2,7,80,-5,-33,8,1,-2,-22,2,0,0
"123",2020-06-24,"Kentucky",-4,9,127,-6,-31,7,2020-07-01,3,14,101,-1,-33,7,7,5,-26,5,-2,0
"124",2020-06-25,"Kentucky",-5,9,119,-5,-32,7,2020-07-02,7,20,130,3,-36,6,12,11,11,8,-4,-1
"125",2020-06-26,"Kentucky",-9,6,141,-3,-32,8,2020-07-03,0,20,201,-5,-55,11,9,14,60,-2,-23,3
"126",2020-06-27,"Kentucky",-12,7,146,9,-10,2,2020-07-04,-25,10,236,-9,-26,0,-13,3,90,-18,-16,-2
"127",2020-06-21,"Louisiana",-19,4,7,-20,-17,2,2020-06-28,-16,-1,8,-20,-16,4,3,-5,1,0,1,2
"128",2020-06-22,"Louisiana",-17,-8,-7,-22,-31,10,2020-06-29,-10,-3,10,-18,-28,8,7,5,17,4,3,-2
"129",2020-06-23,"Louisiana",-11,0,-6,-20,-30,10,2020-06-30,-4,5,11,-16,-29,8,7,5,17,4,1,-2
"130",2020-06-24,"Louisiana",-14,-4,-12,-20,-31,10,2020-07-01,0,7,19,-8,-30,7,14,11,31,12,1,-3
"131",2020-06-25,"Louisiana",-11,1,-8,-19,-30,10,2020-07-02,0,11,9,-9,-32,8,11,10,17,10,-2,-2
